postcode,EstimatedPopulation2017,CensusPopulation2011,Aged00to04,Aged05to09,Aged10to14,Aged15to19,Aged20to24,Aged25to29,Aged30to34,Aged35to39,Aged40to44,Aged45to49,Aged50to54,Aged55to59,Aged60to64,Aged65to69,Aged70to74,Aged75to79,Aged80to84,Aged85plus,RelativeSEAdDisad_1,RelativeSEAdDisad_2,RelativeSEAdDisad_3,RelativeSEAdDisad_4,RelativeSEAdDisad_5,RelativeSEAdDisad_6,RelativeSEAdDisad_7,RelativeSEAdDisad_8,RelativeSEAdDisad_9,RelativeSEAdDisad_10,RelativeSEAdDisad_WeightedAverage
4364,259.83,187.00,0.07,0.06,0.13,0.08,0.05,0.07,0.05,0.05,0.07,0.08,0.06,0.02,0.03,0.06,0.06,0.03,0.02,0.02,,,,,260,,,,,,5.0
4365,487.15,423.00,0.08,0.08,0.03,0.03,0.06,0.04,0.05,0.00,0.05,0.11,0.06,0.07,0.19,0.06,0.04,0.03,0.00,0.02,,487,,,,,,,,,2.0
4370,19411.16,17826.00,0.07,0.07,0.08,0.08,0.03,0.03,0.04,0.06,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.04,0.02,0.02,"4,508","3,469","2,607","3,123","4,031","1,283",363,,,,3.2
4371,784.43,737.00,0.05,0.06,0.06,0.02,0.01,0.02,0.03,0.04,0.03,0.16,0.06,0.09,0.18,0.08,0.04,0.03,0.02,0.03,,206,,578,,,,,,,3.5
4372,148.35,133.00,0.04,0.06,0.05,0.06,0.00,0.04,0.04,0.02,0.02,0.20,0.05,0.06,0.17,0.06,0.03,0.03,0.05,0.04,,,,148,,,,,,,4.0
4373,971.79,1051.00,0.05,0.04,0.06,0.04,0.01,0.04,0.01,0.03,0.04,0.14,0.03,0.09,0.17,0.08,0.05,0.05,0.04,0.03,297,350,325,,,,,,,,2.0
4374,360.11,304.93,0.06,0.09,0.04,0.04,0.03,0.04,0.04,0.02,0.07,0.10,0.04,0.10,0.13,0.08,0.07,0.03,0.00,0.03,,,,,360,,,,,,5.0
4375,249.38,241.44,0.03,0.06,0.07,0.08,0.05,0.05,0.04,0.04,0.08,0.04,0.07,0.11,0.09,0.11,0.03,0.02,0.04,0.01,,,201,,49,,,,,,3.4
4376,341.42,328.00,0.01,0.09,0.09,0.05,0.08,0.05,0.08,0.06,0.05,0.04,0.06,0.10,0.06,0.07,0.05,0.03,0.01,0.02,,341,,,,,,,,,2.0
4377,581.96,546.00,0.04,0.06,0.07,0.06,0.06,0.06,0.05,0.04,0.06,0.06,0.08,0.09,0.07,0.08,0.06,0.05,0.01,0.01,,,582,,,,,,,,3.0
4378,504.49,468.53,0.02,0.07,0.07,0.04,0.08,0.06,0.07,0.07,0.05,0.05,0.08,0.11,0.07,0.10,0.04,0.03,0.00,0.00,,,504,,,,,,,,3.0
4380,8181.09,7658.47,0.05,0.06,0.05,0.04,0.08,0.10,0.08,0.05,0.04,0.02,0.06,0.06,0.05,0.08,0.05,0.04,0.04,0.05,"1,946","2,564",558,"1,157","1,159",501,297,,,,3.0
4381,573.96,533.00,0.04,0.09,0.09,0.04,0.05,0.08,0.08,0.06,0.04,0.03,0.09,0.13,0.07,0.05,0.04,0.02,0.00,0.00,,,490,84,,,,,,,3.1
4382,610.10,533.88,0.02,0.08,0.08,0.06,0.05,0.05,0.06,0.05,0.05,0.05,0.09,0.12,0.08,0.07,0.06,0.03,0.01,0.01,17,,,411,182,,,,,,4.2
